title;prize;ratings;stars;publish_date;authors
Apache Spark.Primeros Pasos: Estructura, Instalacion y ejemplos con Apache  Spark 2.x;0,00;0;NA;11 enero 2018;O, MR
Aprende a programar la nube: Introduccion al DevOps y al Cloud Computing usando JavaScript;0,00;2;5;16 enero 2015;Juan J. Merelo Guervos
Entres selfies y whatsapps: Oportunidades y riesgos para la infancia y la adolescencia conectada (Comunicacion no 500464);14,24;0;NA;26 enero 2018;Estefania Jimenez y Maialen Garmendia
Experiencia de Usuario: Principios y Metodos;0,00;14;4;11 febrero 2015;Yusef Hassan Montero
Sistemas de numeracion paso a paso (Matematicas para Informaticos no 1);0,00;0;NA;31 octubre 2016;Cano Romero, Juan Carlos
Hacktivismo: La Red y su alcance para revolucionar el poder;7,59;1;5;1 julio 2015;Santiago Siri
SEO para WordPress: Optimiza WordPress para que Google ame tu blog (Marketing Online no 4);2,99;7;4,1;3 julio 2015;Jose Noguera
El pequeno libro de los grandes inversores: Las mejores citas de los mejores inversores;9,49;25;4;16 febrero 2016;Albert Albareda y David Galan
Arduino para jovenes y no tan jovenes (Titulos Especiales);9,49;8;4,4;18 marzo 2016;Joan Ribas Lequerica
Introduccion a Unity: Introduccion al desarrollo de videojuegos con Unity 2D;0,00;3;5;29 enero 2018;Altadill Izura, Pello Xabier
HTML5 para Mentes Maestras, 2da Edicion: Como aprovechar HTML5 para crear sitios web adaptables y aplicaciones revolucionarias;3,99;10;4,5;23 junio 2014;J.D. Gauchat
Tu tienda online con WordPress y Amazon: Guia practica paso a paso para crear una tienda virtual y empezar a ganar dinero vendiendo productos de Amazon (Marketing de Afiliacion no 2);3,00;14;4,5;23 agosto 2015;Marta Fedriani
Dibujo para Dummies;9,49;3;4,1;16 octubre 2013;Brenda Hoddinott y Jamie Combs
INKSCAPE - Tutoriales para crear imagenes vectoriales (Herramientas multimedia no 3);0,00;0;NA;6 marzo 2018;Fernando Moreno
Lightroom Classic PARTE III: Difusion de Fotografias;4,99;0;NA;19 noviembre 2017;Jorge Igual
Ajedrez en C: Como programar un juego de ajedrez en lenguaje C... !y que funcione! (Programacion no 1);0,00;1;2;1 marzo 2017;A. M. Vozmediano
Triunfa en Twitter: Para aumentar tus visitas y ventas;0,00;7;4,4;NA;
historias de developers;0,00;17;3,6;27 junio 2013;Alberto de Vega Luna y Rafael de las Heras del Dedo
Contenidos y Recursos gratis para su Kindle (Libros gratuitos en espanol y trucos para sacar provecho de su dispositivo);0,99;1;5;5 enero 2017;Cilia Gallego
Trello: aprende a gestionar proyectos y equipos de manera visual;2,99;5;3,9;28 enero 2016;Javier Cristobal
Aprende MySQL sin dolor: Aprende la magia de la base de datos mas instalada en los servidores web del mundo.;0,00;2;4;27 agosto 2015;Francisco Javier Arce Anguiano
Aprender a programar en C: de 0 a 99 en un solo libro: Un viaje desde la programacion estructurada en pseudocodigo hasta las estructuras de datos avanzadas en lenguaje C;0,00;5;3,7;6 abril 2017;A. M. Vozmediano
Lean vs Agile vs Design Thinking: Lo que realmente necesitas conocer para construir productos digitales con equipos de alto rendimiento;0,00;5;2,3;12 junio 2017;Jeff Gothelf y Victor Gonzalez
Como garantizar la calidad de tus traducciones de una vez por todas: Control de calidad facil con memoQ (para traductores) (Academia de memoQ no 1);8,96;0;NA;13 marzo 2016;Heinz Rudolf
Estructuras Discretas;0,00;47;4,1;20 enero 2014;Manuel Luque Gallego
Dos en uno Excel y Access 2016 para Principiantes (2 in 1 excel & access spanish edition);0,00;0;NA;14 febrero 2018;Ali Akbar y Zico Pratama Putra
Focus Stacking: Profundidad de campo extendida (Tecnicas fotograficas no 1);9,90;1;5;23 febrero 2018;Jorge Igual
WordPress para Dummies;2,84;14;3,9;27 noviembre 2012;Luis Rull y Rafael Poveda
La Funcion SI en Excel: Aprende como tomar decisiones en Microsoft Excel 2016 y anteriores (Aprende Excel);0,00;0;NA;4 septiembre 2016;Alejandro Chavez Castillo
Lean, Kanban y Scrum.: Gestion de equipos agiles;0,00;2;4,5;30 enero 2017;Fernando Llopis Pascual
Maquetar un eBook en tiempo record: Incluye plantilla profesional y curso de regalo;0,00;16;3,7;18 diciembre 2015;Marta Fedriani
La Biblia del Community Manager: Promocion Perpetua: 21 Estrategias Infalibles Para Potenciar Tu Marketing en Redes Sociales;2,99;2;4,5;1 febrero 2018;Jorge Gil
Curso Diseno grafico. Fundamentos y Tecnicas (Espacio De Diseno);23,28;17;4,2;17 marzo 2014;A. M. Lopez y Lopez
Inversion en valor para Dummies;9,49;2;3,5;16 noviembre 2017;Peter J. Sander y Janet Haley
EXCEL, LA HERRAMIENTA DEL MUNDO LABORAL;0,00;1;5;16 enero 2015;Ivan Pinar Dominguez
Las mentiras del Dropshipping;0,00;15;3,8;20 enero 2014;J. G. Benito
Programacion con JavaScript: La Guia de Javascript. 2a Edicion;0,00;2;2;8 marzo 2017;Jose Ruben Manresa Cuevas
Excel 2013,  PowerPivot y DAX: Tus analisis elevados a la enesima potencia (Analiza tu Negocio con Excel y Power BI. Aprende de tus datos. no 4);2,99;10;3,9;9 diciembre 2015;Salvador Ramos
Analitica Web 2.0: El arte de analizar resultados y la ciencia de centrarse en el cliente;9,49;14;4,5;12 julio 2017;Avinash Kaushik y S. L. Trama Equipo Editorial
LAS VELAS JAPONESAS DE UNA FORMA SENCILLA - La guia de introduccion a las velas japonesas y a las estrategias de analisis tecnico mas eficaces.;2,84;6;3,4;7 noviembre 2013;Stefano Calicchio
Introduccion a Apache Spark (Manuales);8,07;2;5;30 junio 2016;Mario Macias Lloret y Mauro Gomez Parada
Marketing online 2.0 (Social Media);14,24;22;4,6;1 junio 2014;Fernando Macia Domene
!Hazlo facil! ...y dominaras la programacion en Scratch: Programando juegos 1a entrega (Programacion ludica y educativa en Scratch);7,00;0;NA;24 febrero 2018;Andres Anta
Millennials, la generacion emprendedora;0,00;2;4;5 julio 2017;Jose Maria Alvarez Monzoncillo y Guillermo de Haro Rodriguez
